banker_id,first_name,last_name,gender,phone,dob,date_joined
32-5280707,Gavin,Janjic,Male,256-805-4398,8/9/1983,2/29/2016
34-5753275,Gaspar,Ungaretti,Male,622-605-4250,2/3/1981,4/4/2014
37-5234485,Gaylord,Colborn,Male,318-902-1492,4/4/1980,6/25/2015
72-2457720,Link,Dayes,Male,276-110-7424,1/7/1974,8/27/2016
67-0102426,Ottilie,Ghelerdini,Female,462-343-6892,1/16/1976,2/26/2014
43-9958344,Aeriell,Pask,Female,211-618-2500,2/25/1990,3/20/2012
93-8757266,Thaddeus,Everist,Male,241-746-1622,9/18/1988,8/12/2020
83-1498089,Mel,Dedon,Male,853-531-1392,11/18/1990,4/17/2019
35-9973556,Myron,Hayth,Male,815-450-6616,6/17/1974,10/2/2011
08-1124646,Artemis,Issacson,Male,832-827-5354,2/1/1971,11/19/2016
24-8396837,Adrian,Pastor,Male,165-107-6110,5/27/1993,1/15/2020
29-7219353,Shane,Stopforth,Male,474-198-2231,5/28/1983,11/22/2017
08-0795961,Anjanette,Adriano,Female,528-580-1693,3/21/1988,6/27/2018
58-0520880,Clive,Burchess,Male,299-528-0728,7/22/1983,7/31/2020
53-8547859,Quill,Duffell,Male,592-543-3912,8/14/1988,8/6/2017
31-1460605,Carr,Semble,Male,722-689-7598,12/7/1987,10/1/2019
61-9752031,Lou,Garms,Female,101-734-2745,5/2/1992,3/9/2012
67-6285961,Giacopo,Darracott,Male,498-630-9474,7/9/1986,5/9/2011
88-8499997,Daphna,Bradman,Female,348-909-0801,2/8/1979,3/12/2010
83-7790252,Xerxes,Sivior,Male,917-678-4306,3/4/1985,6/21/2020
18-5565639,Lucie,Fradgley,Female,317-933-3000,5/24/1975,7/1/2020
96-2477756,Roseanne,Barrowcliff,Female,395-551-4412,3/23/1974,4/13/2012
42-6128401,Jo ann,Butner,Female,568-284-8226,4/18/1993,10/9/2018
90-0814705,Odette,Eggleson,Female,298-183-4526,4/15/1990,8/4/2020
27-0541817,Jeanne,Scotchmoor,Female,433-674-0621,4/26/1974,12/18/2017
56-6551806,Tabbatha,D'Aguanno,Female,707-736-3360,6/7/1987,7/8/2020
84-0102772,Micky,Radclyffe,Female,615-770-9739,1/29/1990,2/6/2020
41-6778673,Rosalia,Conningham,Female,908-563-6253,11/9/1989,2/6/2015
66-8087214,Elise,Landreth,Female,218-306-6561,8/21/1982,1/11/2010
94-8429592,Carter,Perrigo,Male,923-993-8458,1/19/1979,7/17/2016
85-0896789,Tobie,Beggi,Male,154-320-3945,3/30/1990,10/5/2016
74-2503637,William,McCowen,Male,996-289-0279,1/14/1974,4/12/2011
35-2744676,Lon,Hayesman,Male,826-394-7017,11/21/1971,1/7/2020
11-0621082,Chip,Durham,Male,959-185-4128,1/25/1973,8/6/2020
90-4961678,Orly,Pinchbeck,Female,279-539-4501,8/10/1975,11/20/2020
55-5734855,Yvon,Dealy,Male,141-208-5493,7/16/1975,3/9/2021
91-2862010,Verina,Beadle,Female,447-955-3978,4/8/1985,3/16/2012
